term,category
alien species,biodiversity
Aichi Biodiversity Targets,biodiversity
algal bloom,biodiversity
benthic,biodiversity
biodiversity,biodiversity
biology,biodiversity
biosphere,biodiversity
carrying capacity,biodiversity
conservation,biodiversity
conservation easement,biodiversity
critical habitat,biodiversity
cumulative impacts,biodiversity
deforestation,biodiversity
diversity,biodiversity
ecological connectivity,biodiversity
connectivity,biodiversity
ecoregion,biodiversity
ecology,biodiversity
ecological character,biodiversity
ecosystem function,biodiversity
ecosystem health,biodiversity
ecosystem process,biodiversity
ecosystem services,biodiversity
endangered,biodiversity
endemic,biodiversity
environment,biodiversity
extinction,biodiversity
extinct,biodiversity
feral,biodiversity
fishery,biodiversity
flyway,biodiversity
flagships species,biodiversity
freshwater,biodiversity
"free, prior, and informed consent",biodiversity
gene pool,biodiversity
green economy,biodiversity
green infrastructure,biodiversity
habitat,biodiversity
habitat degradation,biodiversity
habitat destruction,biodiversity
habitat conversion,biodiversity
human-wildlife conflict,biodiversity
indigenous species,biodiversity
indicator species,biodiversity
keystone species,biodiversity
landscape connectivity,biodiversity
migratory species,biodiversity
natural capital,biodiversity
natural heritage,biodiversity
natural resources,biodiversity
nature,biodiversity
nature-based solution,biodiversity
ocean acidification,biodiversity
pesticide,biodiversity
pollution,biodiversity
phenology,biodiversity
protected area,biodiversity
restoration,biodiversity
rewilding,biodiversity
riparian,biodiversity
soil erosion,biodiversity
soil health,biodiversity
species,biodiversity
species richness,biodiversity
species diversity,biodiversity
traditional ecological knowledge,biodiversity
threatened species,biodiversity
umbrella species,biodiversity
urban habitats,biodiversity
urban forest,biodiversity
urban forestry,biodiversity
tree canopy,biodiversity
watershed,biodiversity
wilderness,biodiversity
wildlife,biodiversity
wild species,biodiversity
climate change,climate
climate,climate
weather,climate
greenhouse gas,climate
global warming,climate
climate crisis,climate
feedback loop,climate
tipping point,climate
climate overshoot,climate
mitigation,climate
adaptation,climate
resilience,climate
carbon footprint,climate
climate justice,climate
nature-based solution,climate
climate security,climate
decarbonization,climate
decarbonize,climate
renewable energy,climate
carbon sink,climate
carbon removal,climate
carbon capture,climate
regenerative agriculture,climate
just transition,climate
Paris Agreement,climate
wildfire,climate
wildfire smoke,climate
drought,climate
high heat,climate
excessive heat,climate
precipitation,climate
sea level rise,climate
sea-level rise,climate
coastal flooding,climate
stormwater,climate
pests and pathogens,climate
great blue heron,flora and fauna
bird,flora and fauna
fish,flora and fauna
salmon,flora and fauna
trout,flora and fauna
pigeon,flora and fauna
spider,flora and fauna
insect,flora and fauna
flower,flora and fauna
tree,flora and fauna
urban forest,flora and fauna
tree canopy,flora and fauna
vegetation,flora and fauna
mollusk,flora and fauna
mammal,flora and fauna
coyote,flora and fauna
slug,flora and fauna
snail,flora and fauna
snag,flora and fauna
western red cedar,flora and fauna
western redcedar,flora and fauna
douglas fir,flora and fauna
western hemlock,flora and fauna
old-growth,flora and fauna
forest,flora and fauna
meadow,flora and fauna
snake,flora and fauna
lizard,flora and fauna
fern,flora and fauna
salamander,flora and fauna
squirrel,flora and fauna
toad,flora and fauna
fungi,flora and fauna
fungus,flora and fauna
mushroom,flora and fauna
owl,flora and fauna
sea star,flora and fauna
sunflower sea star,flora and fauna
bee,flora and fauna
pollinator,flora and fauna
butterfly,flora and fauna
moth,flora and fauna
sea bird,flora and fauna
duck,flora and fauna
waterfowl,flora and fauna
hummingbird,flora and fauna
sparrow,flora and fauna
woodpecker,flora and fauna
turtle,flora and fauna
crab,flora and fauna
beetle,flora and fauna
warbler,flora and fauna
caterpillar,flora and fauna
orca,flora and fauna
killer whale,flora and fauna
whale,flora and fauna
rat,flora and fauna
lichen,flora and fauna
moss,flora and fauna
dragonfly,flora and fauna
